Name of Promoter,Number of Equity Shares,"Average cost of acquisition
per Equity Share (in ₹)",% of Pre- Offer Equity
,of face value of ₹ 10 each,,Share capital
,held,,
Coal India Limited*,"4,657,000,000^",10.00,100.00
