Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,,
,"Amount
(in ₹ million)",Amount,,Percentage of,,"Amount
(in ₹ million)",Amount,,Percentage,,"Amount
(in ₹ million)",Amount,,Percentage,
,,(in ₹ million),,Revenue,,,(in ₹ million),,of Revenue,,,(in ₹ million),,of Revenue,
,,,,from,,,,,from,,,,,from,
,,,,Operations,,,,,Operations,,,,,Operations,
,,,,(%),,,,,(%),,,,,(%),
Explosives,"2,824.70",,2.05%,,,"3,622.60",,2.54%,,,"5,313.30",,4.21%,,
Timber,3.00,,Negligible,,,1.90,,Negligible,,,5.40,,Negligible,,
"Oil and
lubricants","2,501.20",,1.81%,,,"2,977.20",,2.09%,,,"3,728.50",,2.95%,,
"HEMM
spares",710.70,,0.51%,,,474.60,,0.33%,,,465.90,,0.37%,,
"Other
consumable
stores and
spares",369.60,,0.27%,,,345.40,,0.24%,,,378.50,,0.30%,,
"Cost of
Materials
Consumed","6,409.20",,4.64%,,,"7,421.70",,5.21%,,,"9,891.60",,7.84%,,
