,,Contractual cash flows,,,
As at 31 March 2025,Carrying Amount,Total,0-1 years,1-5 years,"5 years and
above"
"Borrowings
Lease liabilities
Trade payables
Other financial liabilities","64.59
1,257.73
2,147.65
2,048.33","66.87
1,538.43
2,147.65
2,077.60","63.88
543.22
2,147.65
1,970.81","2.99
8 64.83
-
106.79","-
130.38
-
-"
