Particulars,For the,"For the six
months period
ended
September 30,
2024","For the year
ended
March 31,2025",For the year,For the year
,six months,,,ended,ended
,period ended,,,"March 31, 2024","March 31, 2023"
,"September 30,",,,,
,2025,,,,
Profit / (Loss) before tax,210.37,98.36,60.60,(118.82),"(1,426.38)"
Add: Finance costs,76.06,60.73,144.11,71.56,129.36
Add: Depreciation and amortisation expense,498.52,242.75,652.41,277.58,240.01
Less: Other income,141.58,169.04,295.26,116.60,77.68
EBITDA (excluding other income),643.37,232.80,561.86,113.72,"(1,13 .69)"
