,,Contractual cash flows,,,
As at 30 September 2025,Carrying Amount,Total,0-1 years,1-5 years,"5 years and
above"
"Borrowings
Lease liabilities
Trade payables
Other financial liabilities","5.03
1,469.36
2,737.42
2,250.58","5.85
1,837.35
2,737.42
2,279.85","4.66
650.79
2,737.42
2,173.06","1.19
1,021.93
-
106.79","-
164.63
-
-"
