,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,811.24,373.48,636.59,1 1.72,3 .36,-,-,"1,836.38"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,8.35,36.00,41.32,8 5.67
Total,811.24,373.48,636.59,1 1.72,1 1.71,3 6.00,4 1.32,"1,922.05"
Less: loss allowance for doubtful debts,,,,,,,,( 85.67)
Net Trade receivables,,,,,,,,"1,836.38"
