,Particulars,,,,,,,,
S.no.,Name of the entity,"Net assets, i.e., total assets minus total liabilities as
at 31 March 2025",,"Share of profit or (loss) for the year
ended 31 March 2025",,"Share of other comprehensive
income for the year ended 31
March 2025",,"Share of total
comprehensive income
for the year ended 31",
,,"As % of consolidated net
assets",Amount Rs.,"As % of
consolidated profit
or loss",Amount Rs.,"As % of
consolidated
OCI",Amount Rs.,"As % of
consolidate
d Total
Comprehen
sive income","Amount
Rs."
A,Parent,,,,,,,,
,"Shadowfax Technologies Limited
(formerly known as Shadowfax
Technologies Private Limited)",99.92%,"6 ,603.29",93.66%,62.16,127.83%,5.19,95.63%,6 7.35
B,Subsidiary,,,,,,,,
,Criticalog India Private Limited,0.08%,5 .39,6.34%,4.21,-27.83%,( 1.13),4.37%,3 .08
,Total,100.00%,"6 ,608.68",100.00%,66.37,100.00%,4.06,100.00%,7 0.43
C,Adjustment arising on consolidation,,(4.41),,(2.11),,-,,( 2.11)
D,Gross Total,100.00%,"6 ,604.27",100.00%,64.26,100.00%,4.06,100.00%,6 8.32
