Particulars,For the,"For the six
months period
ended
September 30,
2024","For the year
ended
March 31,2025",For the year,For the year
,six months,,,ended,ended
,period ended,,,"March 31, 2024","March 31, 2023"
,"September 30,",,,,
,2025,,,,
Net Worth (I),"6,935.31","4,461.47","6,604.27","4,217.76","1,763.15"
"Total weighted average number of Equity
Shares (II)","515,142,327","473,162,034","477,680,658","426,236,526","422,500,520"
"Net Asset Value per Equity Share (in ₹) (I /
II)",13.46,9.43,13.83,9.90,4.17
