Particulars,"For the six months
period ended
30 September 2025","For the six months
period ended
30 September 2024","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
"Remeasurement on the net defined benefit obligation:
-Actuarial (gains) and losses arising from changes in financial assumptions
-Actuarial (gains) and losses arising from experience adjustments","(0.62)
3.63","1.76
(1.25)","0.49
(4.55)","(8.08)
(0.18)","(1.29)
(5.09)"
,3.01,0.51,(4.06),(8.26),(6.38)
