Particulars,For the,For the six,"For the year
ended
March 31,2025","For the year
ended
March 31, 2024","For the year
ended
March 31, 2023"
,six months,months period,,,
,period ended,ended,,,
,"September 30,","September 30,",,,
,2025,2024,,,
Profit / (Loss) before tax,210.37,98.36,60.60,(118.82),"(1,426.38)"
Add: Finance costs,76.06,60.73,144.11,71.56,129.36
Add: Depreciation and amortisation expenses,498.52,242.75,652.41,277.58,240.01
Less: Other income,141.58,169.04,295.26,116.60,77.68
EBITDA (Excluding Other income),643.37,232.80,561.86,113.72,"(1,13 .69)"
"Less: Rent expense in lieu of leases accounted
under Ind AS 116",321.50,121.98,396.38,63.44,74.89
Add: Share-based payment expense,123.68,145.86,321.21,142.65,193.11
"Add: One time expenses - RTS Cancellation
Fees",70.09,-,-,-,-
Adjusted EBITDA,515.64,256.68,486.69,192.93,"(1,016. 7)"
Adjusted EBITDA Margin,2.86%,2.39%,1.96%,1.02%,(7.18)%
