,,Contractual cash flows,,,
As at 31 March 2023,Carrying Amount,Total,0-1 years,1-5 years,"5 years and
above"
"Borrowings
Lease liabilities
Trade payables
Other financial liabilities","607.29
59.65
941.48
859.44","698.73
62.53
941.48
859.44","412.96
47.96
941.48
859.44","285.77
14.57
-
-","-
-
-
-"
