,,Contractual cash flows,,,
As at 30 September 2024,Carrying Amount,Total,0-1 years,1-5 years,"5 years and
above"
"Borrowings
Lease liabilities
Trade payables
Other financial liabilities","186.24
828.34
1,605.04
1,718.83","202.20
1,135.39
1,605.04
1,718.83","202.20
249.87
1,605.04
1,718.83","-
729.11
-
-","-
156.41
-
-"
