Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,,31.0,,,,,,,,,
2024,-1.0,31.0,,,25483.14,,,-3100.0,,,0.0
2025,55739.09,31.0,,,23016.37,,,0.05561626499463842,,-5574009.0,0.0
