Range of exercise price :,Options outstanding at the end of the period
INR 10,9
"INR 66,000 to INR 1,00,000",458
"INR 1,00,001 to INR 5,00,000",667
"INR 5,00,001 to INR 6,00,000",38
Outstanding at the end of the period,"1,172"
