Particulars,,Nine months ended,,Fiscal 2025,Fiscal 2024,Fiscal 2023
,,"December 31, 2025",,,,
"Revenue generated from critical,
control-intensive products
(₹ million)","6,668.26",,,"5,272.55","4,092.94","3,054.45"
"Revenue from operations
(₹ million)","7,706.65",,,"6,583.63","5,306.53","4,230.28"
"Revenue generated from critical,
control-intensive products as a
percentage of revenue from operations
(%)",86.53,,,80.09,77.13,72.20
