Range of exercise price :,Options outstanding at the end of the period
Upto INR 1,"1,500"
INR 10 to INR 50,"90,000"
INR 51 to INR 100,"75,000"
INR 101 to INR 200,"1,26,000"
INR 201 to INR 300,"2,10,000"
INR 301 to INR 500,"69,000"
Outstanding at the end of the period,"5,71,500"
