"S
No.",Ratio,Numerator,Denominator,"31
December
2025","31 March
2025",Change,% Change,Explanation for variance
1,Current Ratio,Current assets,Current Liabilities,1.61,1.45,0.16,11.03%,Not applicable
2,Debt – Equity Ratio,Total debt(a),Shareholder’s Equity,0.17,0.21,(0.04),-18.45%,Not applicable
3,"Debt Service Coverage
Ratio","Earnings available
for debt service(b)","Debt service(c) = Interest on term
loan from banks + Principal
repayments",3.37,1.41,1.96,138.59%,Refer note (i) below
4,Return on Equity (ROE):,"Net profits after
taxes",Average Shareholder’s Funds,20.03%,22.01%,(0.02),-8.99%,Refer note (i) below
5,Trade receivables,Revenue from,Average trade receivables,8.24,18.55,(10.31),-55.57%,Refer note (i) below
6,"turnover ratio
Trade payables turnover
ratio","operations
Purchase of goods
and other expenses",Average trade payables(e),4.78,5.78,(1.00),-17.33%,Refer note (i) below
7,Net capital turnover ratio,"Revenue from
operations","Average working capital (i.e.
Total current assets less Total
current liabilities excluding short
term borrowings)",6.08,9.95,(3.87),-38.89%,Refer note (i) below
8,Net profit ratio,Net profit after tax,Revenue from operations,9.28%,0.07,0.02,29.83%,Refer note (i) below
9,"Return on capital
employed (ROCE)","Earning before
interest and taxes",Capital Employed(d),32.52%,33.79%,(0.01),-3.76%,Refer note (i) below
10,Return on Investment,"Income generated
from investments(f)",Invested Funds,,,,,
,Quoted,,,5.54%,6.50%,(0.01),-14.81%,Refer note (i) below
,Unquoted,,,4.70%,6.63%,(0.02),-29.11%,Refer note (i) below
11,Inventory Turnover Ratio,Cost of goods sold,Average Inventory,3.36,3.25,0.11,3.47%,Refer note (i) below
