Name of the related party,"For the nine
months ended
31 December
2025","For the year
ended
31 March 2025","For the year
ended
31 March 2024","For the year
ended
31 March 2023"
Accrued salaries and benefits,,,,
"Prof. Shashikanth Suryanarayanan (Managing
Director)",19.47,29.45,23.32,4.80
Amit Arun Dixit (Joint Managing Director),8.93,20.20,-,-
Manish Sharma (Whole-Time Director),5.95,20.00,-,-
"Poyni Bhatt (Chairman, Independent Director)",2.20,-,-,-
"Namakal Srinivasan Parthasarathy (Independent
Director)",2.20,-,-,-
Rajesh Madhukar Sheth (Chief financial officer),1.79,3.86,-,-
Prasad Rajendra Chavan (Company secretary),-,0.02,-,-
