"S
No.",Ratio,Reason for variance
1,Current Ratio,"Variance on account of increase in investments in mutual funds, trade receivables and decrease
in short-term borrowings and conversion of compulsory convertible preference shares."
2,Debt – Equity Ratio,"Varianceonaccountofrepaymentofborrowings,increase insecuritiespremiumdueto issueof
shares and conversion of compulsory convertible preference shares and increase in net profits
during the year."
3,"Debt Service
Coverage ratio","Variance on account of repayment of logn-term and short term borrowings and increase in net
profits during the year."
4,"Return on Equity
(ROE)","Variance onaccountofincrease inCompany'srevenuefromoperations incurrent financial year
and increase in net profit by 96.02%, increase in networth is due to increase in securities
premium on account of issue of shares and conversion of compulsory convertible preference
shares during the year"
5,"Trade receivables
turnover ratio","Variance on account of increase in trade receivables and increase in Company's revenue from
operations during the year."
6,"Net capital turnover
ratio","Variance on account of increase in working capital. Increase in working capital is due to
increase in investments in mutual funds, trade receivables and decrease in short-term
borrowings and conversion of compulsory convertible preference shares."
7,Net profit ratio,"Variance on account of increase in net profit during the year. Increase in net profit is due to
increase in revenue from operations and decrease in finance cost during the year."
