Particulars,"Unbilled
receivable*",Not due,Outstanding for following periods from due date of,,,,,Total
,,,"Less than 6
months","6 months -
1 year",1-2 years,2-3 years,"More than
3 years",
"(i) Undisputed Trade receivables
– considered good",12.84,"1,113.48",306.38,5.19,1.31,0.14,0.52,"1,439.86"
"(ii) Undisputed Trade Receivables
– significant increase in credit risk",-,-,-,-,-,-,-,-
"(iii) Undisputed Trade
Receivables – credit impaired",-,-,-,-,-,-,-,-
"(iv) Disputed Trade Receivables –
considered good",-,-,-,-,-,-,-,-
"(v) Disputed Trade Receivables –
significant increase in credit risk",-,-,-,-,-,-,-,-
"(vi) Disputed Trade Receivables –
credit impaired",-,-,-,-,-,-,-,-
Total,12.84,"1,113.48",306.38,5.19,1.31,0.14,0.52,"1,439.86"
Less : Provision for expected credit loss,,,,,,,,(9.46)
Total,,,,,,,,"1,430.40"
