Range of exercise price :,Options outstanding at the end of the period
INR 10,4
"INR 66,000 to INR 1,00,000",288
"INR 1,00,001 to INR 5,00,000",603
"INR 5,00,001 to INR 6,00,000",34
Outstanding at the end of the period,929
