Particulars,,"For the nine
months ended
December 31,
2025",Fiscal,,,,
,,,2025,2024,2023,2023,
,"(in ₹ million, except as indicated otherwise)","(in ₹ million, except as indicated otherwise)",,,,,
Revenue from operations (A),"7,706.65",,"6,583.63","5,306.53","4,230.28",,
Profit for the period/year (B),714.98,,470.45,58.78,85.73,,
Finance costs (C),72.19,,120.30,384.48,160.44,,
Total tax expense (D),367.72,,206.54,29.35,(5.66),,
EBIT(1) (E = B + C + D),"1,154.89",,797.29,472.61,240.51,,
Depreciation and amortization expense (F),455.82,,453.39,358.63,301.89,,
EBITDA(2) (G = E+F),"1,610.71",,"1,250.68",831.24,542.40,,
EBITDA Margin (%) (3) (H=G/A),20.90%,,19.00%,15.66%,12.82%,,
