Particulars,Land,Building,"Jigs &
Fixtures","Electric
Installation","Plant and
equipment","Furniture
and
fixtures",Computers,Vehicles,"Leasehold
improvements","Office
equipment",Total
"Accumulated Depreciation
Balance as at 01 April 2022
(refer note (a))
Depreciation for the year
Accumulated depreciation on
disposal","-
-
-","-
1.49
-","-
8.87
-","-
0.95
-","-
83.22
1.78","-
8.36
4.31","-
22.28
2.65","-
1.00
-","-
12.10
0.47","-
8.71
0.12","-
146.98
9.33"
"Closing carrying amount as
on 31 March 2023",-,1.49,8.87,0.95,81.44,4.05,19.63,1.00,11.63,8.59,137.65
"Adjusted against gross carrying
amount (refer note (a))
Balance as at 1 April 2023
Depreciation for the year
Accumulated depreciation on
disposal","-
-
-
-","(1.49)
-
1.43
-","(8.87)
-
9.32
1.89","(0.95)
-
1.52
-","(81.44)
-
107.53
11.50","(4.05)
-
8.28
3.94","(19.63)
-
30.42
0.83","(1.00)
-
0.99
-","(11.63)
-
15.85
0.68","(8.59)
-
8.39
0.38","(137.65)
-
183.73
19.22"
Balance as at 31 March 2024,-,1.43,7.43,1.52,96.03,4.34,29.59,0.99,15.17,8.01,164.51
"Depreciation for the year
Accumulated depreciation on
disposal","-
-","1.35
-","18.72
0.17","2.11
-","155.17
3.81","7.99
0.69","25.73
2.57","0.98
1.13","21.15
0.29","8.19
0.74","241.39
9.40"
Balance as at 31 March 2025,-,2.78,25.98,3.63,247.39,11.64,52.75,0.84,36.03,15.46,396.50
"Depreciation for the period
Accumulated depreciation on
disposal","-
-","0.92
-","29.08
0.89","1.37
-","169.94
0.12","9.02
0.16","24.62
-","0.72
0.05","22.88
-","5.64
-","264.19
1.22"
"Balance as at 31 December
2025",-,3.70,54.17,5.00,417.21,20.50,77.37,1.51,58.91,21.10,659.47
Net block,,,,,,,,,,,
Balance as at 31 March 2023,23.33,14.17,8.88,4.62,439.19,29.17,27.25,3.32,49.63,14.81,614.37
Balance as at 31 March 2024,23.33,14.22,9.74,7.68,640.60,27.31,27.98,3.46,56.52,15.14,825.98
Balance as at 31 March 2025,23.33,12.87,44.39,6.68,927.05,27.85,26.95,3.17,61.87,14.02,"1,148.18"
"Balance as at 31 December
2025",23.33,11.95,46.66,5.72,"1,361.06",53.86,42.28,3.00,75.19,12.33,"1,635.38"
