"S
No.",Ratio,Numerator,Denominator,"31 March
2025","31 March
2024","31 March
2023","Change from
31 March 2024
to 31 March
2025","Change from
31 March
2023 to 31
March 2024","% Of change
(31 March
2024 to 31
March 2025)","% Of change
(31 March
2023 to 31
March 2024)"
1,Current Ratio,Current assets,Current Liabilities,1.45,0.75,0.77,0.70,-0.03,94.06%,-3.42%
2,Debt – Equity Ratio,Total debt(a),Shareholder’s Equity,0.21,1.37,1.16,-1.16,0.21,-84.52%,17.82%
3,"Debt Service Coverage
Ratio","Earnings available
for debt service(b)","Debt service(c) =
Interest on term loan
from banks +
Principal repayments",1.41,1.91,1.19,-0.50,0.73,-26.10%,61.22%
4,Return on Equity (ROE):,"Net profits after
taxes","Average
Shareholder’s Funds",22.01%,4.92%,7.84%,17.09%,-2.92%,347.72%,-37.30%
5,"Trade receivables
turnover ratio","Revenue from
operations","Average trade
receivables",18.55,25.10,26.93,-6.55,-1.82,-26.10%,-6.76%
6,"Trade payables turnover
ratio","Purchase of services
and other expenses","Average trade
payables(e)",5.78,5.69,6.20,0.08,-0.51,1.49%,-8.20%
7,Net capital turnover ratio,"Revenue from
operations","Average working
capital (i.e. Total
current assets less
Total current
liabilities excluding
short term
borrowings)",9.95,-9.68,-11.75,19.63,2.08,-202.87%,-17.68%
8,Net profit ratio,Net profit after tax,"Revenue from
operations",7.15%,0.01,2.03%,6.04%,-0.92%,545.10%,-45.34%
9,"Return on capital
employed (ROCE)","Earning before
interest and taxes",Capital Employed(d),33.79%,28.87%,17.51%,4.92%,11.37%,17.04%,64.93%
10,"Return on Investment
Quoted
Unquoted","Income generated
from investments(f)",Invested Funds,,,,,,,
,,,,6.50%,0.00%,0.00%,NA,NA,NA,NA
,,,,6.63%,6.32%,5.89%,0.31%,0.43%,4.89%,7.31%
11,Inventory Turnover Ratio,Cost of goods sold,Average Inventory,3.25,3.49,3.35,-0.25,0.15,-7.03%,4.37%
