"S
No.",Ratio,Reason for variance
1,"Debt Service
Coverage Ratio","Variance on account of increase in interest expense, non-cash operating expenses and
repayment of short-term borrowings during the year."
2,"Return on Equity
(ROE):","Variance on account of decrease in net profits during the year. Decrease in net profit is due to
increase in employee benefit expense and impairment of intangible assets."
3,Net profit ratio,"Variance on account of decrease in net profits and increase in revenue from operations during
the year. Decrease in net profit is due to increase in employee benefit expense and impairment
of intangible assets."
4,"Return on capital
employed (ROCE)","Variance onaccountofincrease inrevenuefromoperations andearningsbeforeinterest andtax
on account of increase in interest expense and increase in borrowings during the year. Increase
in borrowings is mainly on account of increase in fair value of debt component of compulsory
convertible preference shares."
