Particulars,Land,Building,"Jigs &
Fixtures","Electric
Installation","Plant and
equipment","Furniture
and
fixtures",Computers,Vehicles,"Leasehold
improvements","Office
equipment",Total
"Gross carrying amount
Balance as at 01 April 2022
(refer note (a))
Additions
Disposals/adjustments","23.33
-
-","15.60
0.06
-","9.40
8.35
-","3.00
2.57
-","402.80
120.00
2.17","27.00
11.30
5.08","19.60
30.01
2.73","3.70
0.62
-","46.00
15.72
0.46","16.30
7.22
0.12","566.73
195.85
10.56"
"Closing carrying amount as
on 31 March 2023",23.33,15.66,17.75,5.57,520.63,33.22,46.88,4.32,61.26,23.40,752.02
"Opening accumulated
depreciation adjusted against
gross carrying amount (refer
note (a))
Balance as at 1 April 2023*
Additions
Disposals","-
23.33
-
-","(1.49)
14.17
1.48
-","(8.87)
8.88
10.18
1.89","(0.95)
4.62
4.58
-","(81.44)
439.19
313.79
16.35","(4.05)
29.17
7.06
4.58","(19.63)
27.25
31.15
0.83","(1.00)
3.32
1.13
-","(11.63)
49.63
22.89
0.83","(8.59)
14.81
8.72
0.38","(137.65)
614.37
400.98
24.86"
Balance as at 31 March 2024,23.33,15.65,17.17,9.20,736.63,31.65,57.57,4.45,71.69,23.15,990.49
"Additions
Disposals","-
-","-
-","53.37
0.17","1.11
-","442.56
4.75","8.67
0.83","24.77
2.64","0.79
1.23","26.64
0.43","7.08
0.75","564.99
10.80"
Balance as at 31 March 2025,23.33,15.65,70.37,10.31,"1,174.44",39.49,79.70,4.01,97.90,29.48,"1,544.68"
"Additions
Disposals","-
-","-
-","31.35
0.89","0.41
-","603.98
0.15","35.07
0.20","39.95
-","0.56
0.06","36.20
-","3.95
-","751.47
1.30"
"Balance as at 31 December
2025",23.33,15.65,100.83,10.72,"1,778.27",74.36,119.65,4.51,134.10,33.43,"2,294.85"
