Particulars,"Valuation
techniques",Significant unobservable inputs,"Inter relationship between
significant unobservable inputs and
fair value measurement"
Derivatives,"The fair value is
determined using
quoted forward",Not applicable,Not applicable
"Liability
component
of
compulsory
convertible
preference
shares","The fair value is
determined using
income approach
(discounted cash
flows method)","Key inputs - The discounted cash flows method
used to capture the present value of the expected
future economic benefits to be derived from the
ownership of these investees. The key inputs
includes, long term revenue growth rates, balance
sheets, statement of profit or loss along with
underlying assumptions.
Significant unobservable inputs - Interest rates to
discount future cashflows, financial projections.","The estimated fair value would
increase/(decrease) if:
- the expected cash flows were
higher/(lower); or
- the risk-adjusted discount rate were
lower/(higher)."
