,"Outstanding as at 31 March 2024 for following periods from date of
transaction",,,,Total
,Less than 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Micro enterprises and small enterprises
(ii) Other than micro enterprises and small enterprises
Add: Unbilled","5.47
37,137.37","-
10.61","-
2 .78","-
-","5.47
37,150.76
2,005.60"
"Total 39,161.83",,,,,
