,Scenario,,,Compensation amount,,,Compensation period,
"Blocking more amount than the Bid
Amount",,,"1. Instantly revoke the difference
amount, i.e., the blocked amount
less the Bid Amount; and
2. ₹100 per day or 15% per annum
of the difference amount,
whichever is higher",,,"From the date on which the funds
to the excess of the Bid Amount
were blocked till the date of actual
unblock",,
"Delayed unblock for non–
Allotted/partially Allotted
applications",,,"₹100 per day or 15% per annum of
the Bid Amount, whichever is
higher",,,"Three Working Days from the
Bid/Offer Closing Date till the date
of actual unblock",,
