,Particulars,,"Three months June 30,",,,,"Fiscal Year, ended",,,,
,,,2025,,2024,,2025,,2024,2023,
,"Software, server and technology",,"1,043.47",,948.99,"4,408.99","4,408.99",,"2,641.45","1,352.34",
,expenses (B),,,,,,,,,,
,Transaction and other related charges (C),,294.99,,274.66,,"1,295.47",,632.97,457.15,
Contribution Margin (D=A-B-C),,,"7,705.52",,"8,784.29",,"33,312.77",,"22,818.39","9,605.77",
,Contribution Margin (%) (E=D/A),,85.20%,,87.77%,,85.38%,,87.45%,84.15%,
