,Particulars,,,"Three months June 30,",,,,,"Fiscal Year, ended",,,,,
,,,,2025,,,2024,,2025,,,2024,2023,
,Net Worth (A),,,"59,954.49",,,"28,862.80",,"48,553.47",,,"25,426.36","33,167.50",
,Weighted average number of shares,,"5,725.47","5,725.47",,"5,356.15","5,356.15",,"5,460.70",,"5,355.79",,"5,350.19",
,outstanding during the period/year (B),,,,,,,,,,,,,
,(million),,,,,,,,,,,,,
,Net Asset Value Per Share (₹),,10.47,,,5.39,,,8.89,,4.75,,6.20,
,(C=A/B),,,,,,,,,,,,,
