Category of Borrowing,,,,Sanctioned Amount,,,Amount outstanding as on August,
,,,,(to the extent applicable),,,"31, 2025",
Secured,,,,,,,,
,Fund Based,,,,,,,
,Non-Convertible Debentures,,,"1,000.00",,,"1,000.00",
,Term Loan,,,"2,000.00",,,"1,239.58",
,Overdraft,,,"3,157.00",,,-,
,Non-Fund Based,,,,,,,
,Bank Guarantee,,,"4,000.00",,,"4,000.00",
Unsecured,,,,,,,,
,Fund Based,,,-,,,-,
,Non-fund Based,,,-,,,-,
,Total Borrowings,,,"10,157.00",,,"6,239.58",
