Particulars,,Carrying,,,6 months or,,,Due in 6 - 12,,,Due in 1 - 2,,Due More,,Total
,,amount,,,less,,,months,,,year,,than 2 years,,
"Trade
payables","60,951.32",,,"60,951.32",,,-,,,-,,-,,,"60,951.32"
"Lease
liabilities",171.66,,,72.85,,,26.83,,,56.24,,15.74,,,171.66
"Borrowings
including Debt
Securities","5,007.33",,,"2,440.98",,,878.37,,,"1,604.95",,83.03,,,"5,007.33"
,"66,130.31",,,"63,465.15",,,905.20,,,"1,661.19",,98.77,,,"66,130.31"
