,S.,,Name of the BRLM,Website,QR Code
,No.,,,,
1.,,,"Kotak Mahindra
Capital Company
Limited","https://investmentbank.kotak.co
m",
2.,,,"J.P. Morgan India
Private Limited",www.jpmorgan.com,
3.,,,"Citigroup Global
Markets India Private
Limited","www.citigroup.com/global/about
us/globalpresence/india/regulato
ry-disclosures-investment-
banking",
4.,,,Axis Capital Limited,http://www.axiscapital.co.in,
5.,,,"Motilal Oswal
Investment Advisors
Limited",www.motilaloswalgroup.com,
