Type of creditors,,Number of,,,Amount involved,
,,creditors,,,(in ₹ million),
Material creditors,-,,,-,,
"Micro, Small and Medium
Enterprises",51,,,27.32,,
Other creditors,68,,,"60,924.00",,
Total,119,,,"60,951.32",,
