,"Outstanding as at 30 June 2024 for following periods from date of
transaction",,,,Total
,Less than 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Micro enterprises and small enterprises
(ii) Other than micro enterprises and small enterprises
Add: Unbilled","6.91
58,530.02","-
4.55","-
0 .33","-
-","6.91
58,534.90
2,625.62"
"Total 61,167.43",,,,,
