,Particulars,,,"Three months June 30,",,,,,,"Fiscal Year, ended",,,,,,,
,,,,2025,,,2024,,,2025,,,2024,,,2023,
,Profit/(loss) for the period/year,,,"3,783.67",,,"3,380.13",,,"18,243.73",,,"(8,054.50)",,,"4,577.17",
,Add: Total tax expense,,,"1,248.12",,,"1,205.10",,,"6,394.09",,,"1,869.68",,,461.25,
,Add: Finance costs,,,164.19,,,18.18,,,425.49,,,41.98,,,20.72,
,Add: Depreciation and,,71.39,71.39,,51.95,51.95,,246.00,246.00,,201.15,201.15,,122.96,122.96,
,amortisation expense,,,,,,,,,,,,,,,,
,Less: Other income,,,(440.73),,,(467.84),,,"(1,599.22)",,,"(1,867.09)",,,"(1,194.34)",
,Add: Exceptional,,-,-,,-,-,,-,-,,"13,396.84","13,396.84",,-,-,
,item (taxes),,,,,,,,,,,,,,,,
,Add: Share based payments,,,239.06,,,56.62,,,401.52,,,206.66,,,175.25,
,Add: One time performance,,-,-,,,,,-,-,,"7,786.00","7,786.00",,-,-,
,based incentive,,,,,,,,,,,,,,,,
,Add: Long term incentive,,,-,,,"1,592.54",,,"(1,061.69)",,,"1,061.69",,,-,
"Add: Share of net loss of
associate accounted for using
equity method (net of tax)",Add: Share of net loss of,,6.25,6.25,,-,-,,13.77,13.77,,66.78,66.78,,-,-,
,associate accounted for using,,,,,,,,,,,,,,,,
Adjusted EBITDA,,,,"5,071.95",,,"5,836.68",,,"23,063.69",,,"14,709.19",,,"4,163.01",
Revenue from operations,,,,"9,043.98",,,"10,007.94",,,"39,017.23",,,"26,092.81",,,"11,415.26",
,Adjusted EBITDA Margin,,,56.08%,,,58.32%,,,59.11%,,,56.37%,,,36.47%,
