,"Outstanding as at 30 June 2025 for following periods from date of
transaction",,,,Total
,Less than 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Micro enterprises and small enterprises
(ii) Other than micro enterprises and small enterprises
Add: Unbilled","19.13
58,375.11","-
3.33","-
0 .52","-
-","19.13
58,378.96
2,553.23"
"Total 60,951.32",,,,,
