,Scenario,,,Compensation amount,,,Compensation period,
"Delayed unblock for
cancelled/withdrawn/deleted
applications",,,"₹100 per day or 15% per annum of
the Bid Amount, whichever is
higher",,,"From the date on which the request
for cancellation/withdrawal/deletion
is placed on the bidding platform of
the Stock Exchanges till the date of
actual unblock",,
"Blocking of multiple amounts for
the same Bid made through the
UPI Mechanism",,,"1. Instantly revoke the blocked
funds other than the original Bid
Amount; and
2. ₹100 per day or 15% per annum
of the total cumulative blocked
amount except the original Bid
Amount, whichever is higher",,,"From the date on which multiple
amounts were blocked till the date
of actual unblock",,
