"Name of the Selling
Shareholder","Date of consent
letter",,Date of board,,Maximum number of Offered Shares
,,,resolution/corp,,
,,,orate,,
,,,"authorisation,",,
,,,if applicable,,
"Peak XV Partners
Investments VI-1","October 29, 2025","May 5, 2025",,,"Up to 158,281,491 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"YC Holdings II, LLC","October 29, 2025","May 1, 2025",,,"Up to 105,481,609 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
