,Particulars,,,"As of June 30, 2025",,,,,,,,,,
,,,,Stage I,,,Stage II,,,Stage III,,,Total,
,Opening Balance,,,207.39,,,102.98,,,166.74,,,477.12,
,New assets originated,,,18.88,,,33.34,,,196.96,,,249.18,
Written off,,,,-,,,-,,,(190.24),,,(190.24),
,Closing Balance,,,226.27,,,136.32,,,173.46,,,536.06,
