,Particulars,,,"Three months June 30,",,,,,,"Fiscal Year, ended",,,,,
,,,,2025,,,2024,,,2025,2024,,,2023,
,Profit/(loss) for the period/year (A),,,"3,783.67",,,"3,380.13",,,"18,243.73","(8,054.50)",,,"4,577.17",
,Total income (B),,,"9,484.71",,,"10,475.78",,,"40,616.45","27,959.90",,,"12,609.60",
,Profit/(loss) for the period/year,,39.89%,39.89%,,32.27%,32.27%,,44.92%,,(28.81)%,,36.30%,36.30%,
,Margin (C=A/B),,,,,,,,,,,,,,
