Particulars,,,,Three months June,,,,,"Fiscal Year, ended",,,,,
,,,,"30,",,,,,,,,,,
,,,,2025,,,2024,,,2025,,2024,2023,
,"Software, server and technology expenses",,,"1,043.47",,,948.99,,,"4,408.99",,"2,641.45","1,352.34",
Transaction and other related charges,,,,294.99,,,274.66,,,"1,295.47",,632.97,457.15,
,Cost to Serve,,,"1,338.46",,,"1,223.65",,,"5,704.46",,"3,274.42","1,809.49",
