2025-2026,17,"3,08,352.16",-,-,4,2,3,3,-,-,-,-,-,-
2024-2025,7,"1,08,359.23",-,-,2,1,-,4,-,1,1,-,1,4
2023-2024,7,"62,714.73",-,-,2,-,1,4,-,-,2,-,2,3
