,onbrains Garage Ventures Limited (formerly known as Billionbrains Garage Ventures Private Limited),,,,
,"Compensated absences - - - - - -
Gratuity 27.21 1 14.65 11.07 84.00 20.40 93.94",,"-
1 0.42","-
7 5.69","0.69
4.24"
"Defined benefit plans
(i)Reconciliation of opening and closing balances of Defined Benefit Obligation
As at As at As at As at As at
30 June 2025 30 June 2024 31 March 2025 31 March 2024 31 March 2023",,,,,
"Defined Benefit Obligation (DBO) at beginning of period/year 1 14.34 8 6.12
Addition pursuant to business combination - -
Current service cost 9.09 7 .29
Past service cost - -
Interest cost 1.53 1 .24
Actuarial loss / (gain) recognised in other comprehensive income
a) changes in demographic assumption -
b) changes in financial assumptions 2.97 0 .38
c) experience adjustments 14.34 0 .04
Benefits paid ( 0.41) -",,,,"8 6.12
-
3 6.80
-
6.11
( 21.77)
8.42
2.39
( 3.73)","48.18 2 5.61
3.16 -
26.37 2 6.14
- 1 .80
3.40 1 .70
- ( 8.59)
0.38 ( 0.89)
4.75 2 .40
( 0.12) -"
Defined Benefit Obligation (DBO) at period/year,,,,,
(ii) Expenses recognised during the period/year,,,,,
"30 June 2025 30 June 2024 31 March 2025 31 March 2024 31 March 2023
Current service cost 9.09 7.29 36.80 26.37 26.14
Past service cost - - - - 1.80
Interest cost 1.53 1.24 6.11 3.40 1.70",,,,,
Expenses recognised in restated consolidated statement of profit and loss 10.62 8.53 42.91,,,,,
(iii)Expenses recognised in Other Comprehensive Income (OCI),,,,,
30 June 2025 30 June 2024 31 March 2025 31 March 2024 31 March 2023,,,,,
,Acturial Gains/ (Losses) on obligation for the period,,,,
"a) changes in demographic assumption - - ( 21.77) - ( 8.59)
b) changes in financial assumptions 2 .97 0 .38 8 .42 0 .38 ( 0.89)
c) experience adjustments 1 4.34 0 .04 2 .39 4 .75 2 .40
Net Income / (Expense) for the period recognised in OCI 1 7.31 0 .42 ( 10.96) 5 .13 ( 7.08)",,,,,
