1,"LG Electronics India
Limited","116,047.32","1,140.00","October 14,
2025",1710.10,NA,NA,NA
2,Tata Capital Limited,"155,118.70",326.00,"October 13,
2025",330.00,NA,NA,NA
3,JSW Cement Limited,"36,000.00",147.00,"August 14,
2025",153.50,+1.17% [+1.96%],NA,NA
4,"Anthem Biosciences
Limited","33,950.00",570.00,"July 21, 2025",723.10,+43.54% [-0.68%],+32.87% [+2.13%],NA
5,"Schloss Bangalore
Limited","35,000.00",435.00,"June 2, 2025",406.00,-6.86% [+3.34%],-8.17% [-1.17%],NA
6,"Hexaware
Technologies Limited","87,500.00",708.00,"February 19,
2025",745.50,+3.45% [+1.12%],+5.16% [+8.78%],+1.31% [+7.41%]
,,,,Listing date,,,,+/- % change in
,,,,,,+/- % change in,+/- % change in,
,,,,,,,,closing
,,,,,,"closing price, [+/- %","closing price, [+/- %",
,,,,,Opening price,,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,change in closing,change in closing,
,Issue name,,,,on listing date,,,in
No.,,(₹ millions),price (₹),,,benchmark]- 30th,benchmark]- 90th,
,,,,,(in ₹),,,closing benchmark]-
,,,,,,calendar days from,calendar days from,
,,,,,,,,180th calendar days
,,,,,,listing,listing,
,,,,,,,,from listing
7,"Ajax Engineering
Limited","12,688.84",629.00,"February 17,
2025",576.00,-2.86% [-0.55%],+6.78% [+8.97%],+12.42% [+7.28%]
8,Swiggy Limited,"113,274.27",390.00,"November 13,
2024",420.00,+29.31% [+4.20%],-7.15% [-0.75%],-19.72% [+1.91%]
9,"Hyundai Motor India
Limited","278,556.83","1,960.00","October 22,
2024","1,934.00",-6.64% [-3.90%],-8.72% [-5.19%],-15.22% [-2.54%]
10,"Northern Arc Capital
Limited","7,770.00",263.00,"September 24,
2024",350.00,-7.15% [-5.80%],-15.71% [-9.07%],-33.46% [-9.98%]
,,,,,,+/- % change in,,+/- % change in
,,,,,,,+/- % change in,
,,,,,,"closing price, [+/-",,closing
,,,,,,,"closing price, [+/- %",
,,,,,Opening price,% change in,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,,change in closing,
,Issue name,,,Listing date,on listing date,closing,,in
No.,,(₹ millions),price (₹),,,,benchmark]- 90th,
,,,,,(in ₹),benchmark]- 30th,,closing benchmark]-
,,,,,,,calendar days from,
,,,,,,calendar days from,,180th calendar days
,,,,,,,listing,
,,,,,,listing,,from listing
1,Rubicon Research Limited&(2),"13,775.00",485.00,"October 16, 2025",620.00,-,-,-
2,"Canara Robeco Asset
Management Company
Limited(2)","13,261.26",266.00,"October 16, 2025",280.25,-,-,-
3,LG Electronics India Limited$(2),"116,047.32","1,140.00","October 14, 2025","1,710.10",-,-,-
4,Tata Capital Limited(2),"155,118.72",326.00,"October 13, 2025",330.00,-,-,-
5,Atlanta Electricals Limited#(1),"6,873.41",754.00,"September 29, 2025",858.10,"+27.82%, [+5.30%]",-,-
6,Euro Pratik Sales Limited@ (2),"4,513.15",247.00,"September 23, 2025",272.10,"+3.08%, [+2.68%]",-,-
7,"Bluestone Jewellery And
Lifestyle Limited(2)","15,406.50",517.00,"August 19, 2025",510.00,"+15.13%, [+1.40%]",-,-
8,JSW Cement Limited(2),"36,000.00",147.00,"August 14, 2025",153.50,"+1.17%, [+1.96%]",-,-
9,"National Securities Depository
Limited*(1)","40,109.54",800.00,"August 6, 2025",880.00,"+54.48%, [+0.22%]",-,-
10,Oswal Pumps Limited(2),"13,873.40",614.00,"June 20, 2025",634.00,"+17.96%, [-0.57%]","+29.28%, [+0.87%]",-
