,,,three,,,three,,,,
,,,months,,,months,,,,
,,,ended June,,,ended June,,,,
,,,"30, 2025",,,"30, 2024",,,,
"Basic earnings per
share (1)**",₹,0.66,,,0.63,,,3.34,(1.50),0.86
"Diluted earnings per
share (2)**",₹,0.63,,,0.61,,,3.19,(1.50),0.79
"Return on Net
Worth(3)**",%,6.31%,,,11.71%,,,37.57%,(31.66)%,13.80%
"Net Asset Value per
Share(4)",₹,10.47,,,5.39,,,8.89,4.75,6.20
"Diluted Net Asset
Value per Share(5)",₹,9.93,,,5.19,,,8.50,4.75,5.71
EBITDA(6),"₹ in
millio
n","5,267.37",,,"4,655.36",,,"25,309.31","(5,941.69)*","5,182.10"
"EBITDA (excluding
Other income)(7)","₹ in
millio
n","4,826.64",,,"4,187.52",,,"23,710.09","(7,808.78)*","3,987.76"
