,30 June 2025,30 June 2024,31 March 2025,31 March 2024,31 March 2023
Dividend yield (% p.a.),0%,-,0%,0%,0%
Expected volatility (% p.a.),52.20%,-,48.60% - 49.10%,45.00% - 47.20%,37.00% - 43.00%
Risk-free interest rate (% p.a.),6.40%,-,6.69% - 7.00%,3.60% - 4.60%,2.28% - 4.22%
Expected life of option (years),10.50-11.77,-,10.75 - 11.77,6.50 -7.00,2.00
