"Name of the Selling
Shareholder","Date of consent
letter",,Date of board,,Maximum number of Offered Shares
,,,resolution/corp,,
,,,orate,,
,,,"authorisation,",,
,,,if applicable,,
"Peak XV Partners
Investments VI-1","October 29, 2025","May 5, 2025",,,"Up to 158,281,491 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"YC Holdings II, LLC","October 29, 2025","May 1, 2025",,,"Up to 105,481,609 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Name of the Selling
Shareholder","Date of consent
letter",,Date of board,,Maximum number of Offered Shares
,,,resolution/corp,,
,,,orate,,
,,,"authorisation,",,
,,,if applicable,,
"Ribbit Capital V, L.P.","October 29, 2025","May 9, 2025",,,"Up to 65,668,147 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"GW-E Ribbit
Opportunity V, LLC","October 29, 2025","May 9, 2025",,,"Up to 52,464,086 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Internet Fund VI Pte.
Ltd.","October 24, 2025","May 20, 2025",,,"Up to 51,842,810 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Sequoia Capital
Global Growth Fund
III – U.S./India
Annex Fund, L.P.","October 29, 2025","May 8, 2025",,,"Up to 14,723,398 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Propel Venture
Partners Global US,
LP","October 29, 2025","May 12, 2025",,,"Up to 16,266,356 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Kauffman Fellows
Fund, L.P.","October 29, 2025","May 9, 2025",,,"Up to 27,505,088 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
Friále Fund IV LLC,"October 29, 2025","May 19, 2025",,,"Up to 11,343,750 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Alkeon Innovation
Master Fund II, LP","October 29, 2025","May 8, 2025",,,"Up to 18,707,370 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Alkeon Innovation
Master Fund II,
Private Series, LP","October 29, 2025","September 5,
2025",,,"Up to 17,453,620 Equity Shares of face
value of ₹2 aggregating up to ₹[●] million"
"Alkeon Innovation
Master Fund, LP","October 29, 2025","May 8, 2025",,,"Up to 8,118,000 Equity Shares of face value
of ₹2 aggregating up to ₹[●] million"
"Alkeon Innovation
Opportunity Master
Fund, LP","October 29, 2025","September 5,
2025",,,"Up to 421,248 Equity Shares of face value
of ₹2 aggregating up to ₹[●] million"
"Nirman Investments,
L.P.","October 29, 2025","May 19, 2025",,,"Up to 5,968,700 Equity Shares of face value
of ₹2 aggregating up to ₹[●] million"
"Nirman Holdings,
L.P.","October 29, 2025","May 19, 2025",,,"Up to 2,984,378 Equity Shares of face value
of ₹2 aggregating up to ₹[●] million"
