Discount Rate,6.09%-6.22%,6.59%-6.72%,7.19% - 7.49%,7.35% - 7.49%
Rate of Return on Plan Assets,6.22%,6.59%,7.19%,7.35%
"Salary Escalation
Mortality",8.00%,6.5%-8.00%,5.00%,5.00%
,"Indian Assured Lives
Mortality (2012-14
Urban)","Indian Assured Lives
Mortality (2012-14
Urban)","Indian Assured Lives
Mortality (2012-14
Urban)","Indian Assured Lives
Mortality (2012-14
Urban)"
Average Past Service,0.76 Years to 5.76 Years,"0.89 Years to 6.05
Years","5.14 Years to 5.24
Years","4.21 Years to 5.12
Years"
Average Age,"28.18 Years to 37.38
Years","27.71 Years to 37.85
Years","35.04 Years to 37.52
Years","34.79 Years to 35.79
Years"
Rate of Employee Turnover,"For service 4 years and
below 26.00% p.a.
For service 5 years and
above 13.00% p.a.","For service 4 years and
below 26.00% p.a.
For service 5 years and
above 13.00% p.a.","For service 4 years and
below 25.00% p.a.
For service 5 years and
above 10.00% p.a.","For service 4 years and
below 25.00% p.a.
For service 5 years and
above 10.00% p.a."
