"Provision for Employee Benefits
Provision for Compensated Absences [refer note (i) below]
Provision for Gratuity (refer note 35)","17.01
6.40","15.42
11.17","10.62
0.64","8.92
0.48"
Total,2 3.41,26.59,11.26,9.40
"Provision for Employee Benefits:
Provision for Compensated Absences [refer note (i) below]
Provision for Gratuity (refer note 35)
Provision - Others:
Provision for Sales Return [refer note (iii) below]","5 .47
2 3.19
6 36.88","3.73
22.30
327.52","2.32
8.70
343.62","2.00
7.02
388.37"
Total,6 65.54,353.55,354.64,397.39
