"BPI Chemtex Private Limited (Formerly
known as Bharat Pesticides Industries Private
Limited)",Job Work Charges,6 .87,1 2.75,11.44,15.69
,Purchase of Products,2 9.91,7 1.84,-,-
,Reimbursement of Expenses,-,0 .46,0.75,0.46
,Rent Expenses,1 .75,3 .34,2.37,2.34
Indo GSP Chemicals Private Limited,Interest income,1 0.03,2 0.00,0.87,-
,Export Benefit Receipt,-,0 .16,-,-
,Purchase of Products,-,0 .01,-,-
,Job Work Income,2 1.90,3 59.18,-,-
,RODTEP Licence Purchase,-,8 .54,-,-
,Loan Given,-,-,200.00,-
,Sales of Products,8 6.62,"1 ,112.91",83.65,-
Athena Trust,Dividend paid,0 .06,0 .05,0.01,0.05
Alpha Trust,Dividend paid,3 .62,4 .55,-,-
BETA Trust,Dividend paid,0 .63,0 .56,0.11,0.62
,Sale of Investment,-,-,13.26,-
Kappa Trust,Dividend paid,7 .82,6 .27,1.25,6.32
,Sale of Investment,-,-,25.50,-
Shard Trust,Dividend paid,0 .06,0 .05,0.01,0.05
Stamford Trust,Dividend paid,1 .50,0 .68,0.14,0.75
Monakhos Trust,Dividend paid,0 .00,0 .00,-,0.00
"Sadguru Shree Vallabhacharya Charitable
Trust","Contribution towards
Corporate Social
Responsibility",4 .90,1 5.02,16.08,14.85
Mr. Vrajmohan R Shah,Dividend paid,-,-,-,7.17
Mr.Kenal V Shah,Interest Expenses,-,0 .10,1.08,1.99
,Loan Repaid,-,1 0.16,6.42,13.55
,Loan Taken,-,-,0.77,3.40
,Rent Expenses,0 .79,1 .51,-,0.68
,Managerial Remuneration,-,-,-,0.02
