"India
Outside India","7,635.21
807.70","11,434.51
1,439.34","10,280.12
1,241.49","10,315.17
1,717.92"
Total,"8,442.91","12,873.85","11,521.61","12,033.09"
Audit Fees,1.79,1.40,2.91,2.83
Other services including certification fees and fees for interim review,-,0.80,2.01,-
Total,1.79,2.20,4.92,2.83
