Opening Balance,401.02,484.00,145.53,108.72
Additions,250.47,522.89,607.94,233.28
Less: Capitalisation to PPE,247.06,605.87,269.47,196.47
Total,404.43,401.02,484.00,145.53
Opening Balance,99.13,25.07,10.98,2.70
Additions,56.28,80.93,23.94,11.68
Less: Capitalisation to Intangible Assets,8.32,6.87,9.85,3.40
Total,147.09,99.13,25.07,10.98
