Balance at the beginning of the year,2 40.18,183.51,1 10.29,109.02
Add: Provision made during the year (Refer Note 33),3 0.00,81.30,8 8.50,5.34
Less: Provision utilised for write off during the period/ year,1 7.57,24.63,1 5.28,4.07
Balance at the end of the period/ year,2 52.61,240.18,1 83.51,110.29
