"Disputed demand of Income Tax against which the Group has preferred appeals
>DuringtheFY2023-24,ITAThaspassedordersrelatedtodisputedmattersinthefavourof
Assessee and hence same has not been shown as a contingent liability for the current year.
> W.r.t Previous year,
-TheGrouphaspreferredanappeal,againsttheorderpassedbyCIT(Appeal),whichispending
atITATAhmedabad.ThematterispertainingtoAY2013-14w.r.t.Researchanddevelopment
expense - weighted deduction u/s 35(2AB) and other purchases.
-TheGrouphaspreferredanappeal,againsttheorderpassedbyCIT(Appeal),whichispending
atITATAhmedabad.ThematterispertainingtoAY2014-15w.r.t.SalesCommissionand
Product Development Charges.",-,-,-,3 .24
"Matter pending with respective state judicialmagistrate and high court for Misbranding of
Product Labels under Insecticides Act, 1968.",-,-,0 .48,0 .55
"Disputed demand of GST interest which the Group has preferred an appeal with The
Commissioner (Appeal) of GST and Central Excise.",-,-,0 .32,0.28
"DuringtheFY2023-24,GrouphaswithdrawnthewritpetitionfiledwithHighcourtandhas
formallyrequestedauthoritytoreleasethisclaimincompliancewiththeclarificationissuedby
Central Board of Indirect Tax and Customs with reference to CBIC circulars.
> W.r.t Previous year,
- The Group has preferred an appeal against the show cause notice issued by Assistant
CommissionerofCentralGoods&ServiceTaxDivisiondirectingtodepositallowedbudgetary
supportandrejectingpendingclaimsofbudgetarysupportonthebasisofallegationofnon-
eligibility of budgetary support under Notification F. No. 10(1)/2017-DBA-II/NER dated
05.10.2017, which is pending at High Court of Jammu and Kashmir.",-,-,-,3 3.24
"Disputed demand relating to Tax Rebate Income.
-OneoftheComponent(whichwaspartofgroupuptoMarch15,2024)hasfiledAppealwith
theAppellateAuthorityofGSTagainsttheshowcausenoticeissuedbyDeputyCommissioner,
Commercial Tax for Reclaim of excess GST paid in GST return.",-,-,-,2 .55
"Disputed amount of VAT/CST where Group has preferred an appeal.
-TheGrouphaspreferredanappealwhichispendingwithCommissionerAppealsofBihar
State.ThematterispertainingtoFY2015-16w.r.t.nonsubmissionof""Form-F""oninterstate
stock transfer.",-,-,3 .53,3 .53
"Disputed amount of VAT/CST where Group has preferred an appeal.
-TheGrouphaspreferredanappealwhichispendingwithTribunalofGujaratState.Thematter
ispertainingtoFY2005-06&FY2010-11w.r.t.reductionofInputTaxCreditoninterstate
stock transfer.
The management is reasonablyconfident that no liabilitywillariseinfutureand henceno
provision is made in the books of account.",1 .09,1 .09,1 .09,0 .60
Terminal Excise Duty*,355.31,-,-,-
