Mr.Bhavesh V Shah,Advance for Travelling,-,-,0.30,-
,Advance for Expenses,1 .50,-,-,-
,Dividend paid,7 .15,6 .36,1.27,6.99
,Interest Expenses,-,0 .26,1.77,1.76
,Loan Repaid,-,1 8.28,7.61,64.05
,Loan Taken,-,-,1.97,38.10
,Rent Paid,0 .79,1 .51,1.80,1.13
,Sales of Fixed Asset,-,0 .33,-,-
,Incentive,-,1 5.00,-,-
,Managerial Remuneration,2 5.03,1 7.86,26.00,26.01
Mr. Mehul Pandya,Advance for Travelling,-,0 .21,0.09,-
,Reimbursement of Expense,-,-,0.17,-
,Managerial Remuneration,4 .49,6 .41,6.41,4.50
Mr.Shail J Shah,Managerial Remuneration,6 .77,9 .87,7.10,7.80
Mr. Kamlesh D. Patel,Managerial Remuneration,1 .46,2 .16,-,-
Vrajmohan Ramanlal Shah (HUF),Interest Expenses,-,-,-,0.08
,Loan Repaid,-,-,0.08,2.66
,Loan Taken,-,-,0.00,1.48
,Rent Paid,-,-,-,0.12
Ms.Vilasben V Shah,Dividend paid,6 .38,5 .68,2.05,4.65
,Interest Expenses,-,0 .09,0.98,1.31
,Loan Repaid,-,9 .51,2.93,28.43
,Loan Taken,-,-,1.01,1.61
,Rent Paid,0 .72,1 .00,0.60,0.48
,Sale of Fixed Assets,-,0 .38,-,-
Ms.Falguni K. Shah,Dividend paid,0 .00,0 .00,-,0.00
,Interest Expenses,-,-,0.02,0.02
,Loan Repaid,-,-,0.27,-
,Loan Taken,-,-,0.02,0.02
Ms.Deepa B. Shah,Dividend paid,0 .00,-,-,0.00
,Interest Expenses,-,-,0.09,0.09
,Loan Repaid,-,-,1.13,-
,Loan Taken,-,-,0.06,0.08
Mr.Pujan Shah,Dividend paid,0 .00,0 .00,0.00,-
Ms.Vihangi Shah,Dividend paid,0 .00,0 .00,-,0.00
,Reimbursement of Expense,-,-,0.20,-
,Advance for Travelling,-,0 .55,-,-
,Employee benefit expenses,0 .34,0 .60,0.44,-
Ms. Riddhi Shah,Dividend paid,0 .01,0 .01,0.00,0.01
,Employee benefit expenses,-,-,1.32,1.01
,Sale of Fixed Assets,-,0 .70,-,-
Mr.Tirth Shah,Advance for Travelling,-,-,0.14,-
,Dividend paid,1 .50,1 .34,0.27,1.47
,Interest Expenses,-,-,0.24,0.68
,Loan Repaid,-,-,5.77,27.98
,Loan Taken,-,-,0.24,10.05
,Managerial Remuneration,9 .44,1 4.20,5.95,5.95
