Debt*,"3,211.27","2,956.02","2,354.38","3,242.57"
Cash and bank,(286.00),(324.12),(402.92),( 429.24)
Net Debt,"2 ,925.27","2 ,631.90","1,951.46","2,813.33"
Total Equity,"5 ,299.47","4 ,518.47","3,704.27","3,637.85"
Net Debt to equity Ratio,55.20%,58.25%,52.68%,77.34%
