"Salaries, wages and bonus
Contribution to provident fund & other funds (refer note 35)
Staff welfare expenses","482.35
24.59
24.63","875.90
40.67
45.93","735.46
32.08
37.15","566.86
37.60
33.58"
Total,531.57,962.50,804.69,638.04
Employer’s Contribution to Provident Fund,1 2.54,2 0.71,18.80,1 7.79
Employer’s Contribution to Employee State Insurance Scheme,0 .42,1 .24,1.54,1 .59
Actuarial (Gains)/Losses on Obligations - Due to Experience,2 .27,4 .91,1.83,2 .02
j. Projected Contribution for next year,2 5.06,2 2.23,14.52,12.30
