Sr.,Name of the Entity,Relationship,"As at Sept 30,",FY 2024-25,FY 2023-24,FY 2022-23
No,,,2025,,,
1,"Rajdhani Petrochemicals Private
Limited",Subsidiary,"MSKC &
Associates LLP",M B D & co LLP,"M B D & co
LLP","Mrunal M Shah
and Co."
2,"GSP Intermediates Private
Limited",Subsidiary,"MSKC &
Associates LLP",M B D & co LLP,"M B D & co
LLP","Mrunal M Shah
and Co."
3,"GSP Agroquimica Do Brasil
LTDA (w.e.f from September
2023)",Subsidiary,Unaudited,Unaudited,Unaudited,N.A.
4,"Indo GSP Chemicals Private
Limited","Subsidiary (till
March 15, 2024)",N.A.,N.A.,N.A.,"Mrunal M Shah
and Co."
