"Income tax expense
In respect of current period/ year
Adjustment of current tax in respect of earlier year's
Deferred tax (other than that disclosed under OCI)
Origination and reversal of temporary difference","261.55
-","373.47
(4.99)","243.60
2.15","44.71
(3.93)"
,261.55,368.48,245.75,40.78
,5.32,(83.45),(16.35),30.60
,5.32,(83.45),(16.35),30.60
Total tax expense recognized in the statement of profit and loss,2 66.87,285.03,2 29.40,71.38
