Net cash inflow/(outflow) from operating activities,40.88,(115.91),140.72
Net cash inflow/(outflow) from investing activities,-,(0.08),(22.73)
Net cash inflow/(outflow) from financing activities,-,9 2.45,(1.67)
Net increase in cash generated from discontinued operations,40.88,(23.54),116.32
