Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"Total oustandin
Total outstandi","61.23
326.26","26.38
237.20","15.39
289.78","7 .02
228.45"
,387.49,263.58,305.17,235.47
