Particulars,"Six Months
Ended 30.09.2025","Year Ended
31.03.2025","Year Ended
31.03.2024","Year Ended
31.03.2023",
"Power & Fuel
Repairs & Maintenance
- Plant & Machinery
- Buildings
- Others
Labour Charges
Conveyance & Petrol Expenses
Erection Expenses
Telephone & Communication
Vehicles Maintenance
Insurance Expenses
Legal & Professional Charges
Project Development Contract
Rent Expenses (Refer Note 43)
Rates & Taxes
Freight Outward
Sales Commission
Travelling Expenses
Provision for Doubtful Advances/ Debts (Net)
Sundry Balance Written Off (Net)
Operation and Maintenance Charges
Miscellaneous Expenses","1 .74
0 .78
0 .02
1 .29
2 0.95
2 .08
4 1.40
0 .38
0 .91
4 .31
4 .46
1 29.61
0 .73
0 .53
1 4.53
0 .69
2 .43
-
0 .25
2 3.56
1 6.72","3.33
0.91
0.29
2.16
40.01
3.90
56.01
0.77
1.79
8.18
7.33
137.85
2.72
1.33
29.02
1.71
5.94
2.52
0.15
48.54
33.71","3.15
0.97
1.62
2.57
32.69
4.09
41.73
0.76
2.04
7.32
9.06
77.44
3.95
1.36
28.78
1.66
5.71
-
3.69
40.68
27.06","3.01
1.00
0.83
2.95
28.80
3.89
41.05
0.78
1.84
6.90
8.88
164.09
2.91
1.13
22.53
2.19
5.60
-
3.41
40.02
25.93",
,2 67.37,388.17,296.33,367.74,
